S_text,T_text,labels
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall ensure secure electronic messaging with patients,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the identify of the user and provide the ability to access, view and print patient data from previous admissions and/or office encounters by document type, identify of person and reason for access.",1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall present a set of patient identifying information at each interaction with the patient record, including, at a minimum, patient name, medical record number, gender and date of birth.",1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide a field which will identify patients as being exempt from reporting functions.,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to store more than one identifier for each patient record.,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system should provide a way to export medications that have been entered on the wrong patient into the correct patient record. An audit trail must be created in both the incorrect and correct patient records.,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to generate reports consisting of all or part of an individual patient?s medical record (e.g. patient summary).,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to capture immunization administration details as discrete data, including: (1) the immunization type and dose (2) date and time of administration (3) route and site (4) lot number and expiration date (5) manufacturer and (6) user ID.",1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall be able to identify all patients on a specific medication.,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall demonstrate the ability to generate and embed a transaction ID tracking number to patient chart outputs or exports, unique for each instance when a patient chart output/document is printed, electronically communicated, or otherwise exported",1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to maintain a directory which contains identifiers required for licensed clinicians to support the practice of medicine including at a minimum state medical license, DEA, NPI, and UPIN number.",1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to maintain and make available historic information for demographic data including prior names, addresses, phone numbers and email addresses.",1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to merge patient information from two patient records into a single patient record.,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to display the number of patients that have been admitted to the hospital but still remain in the Emergency Department.,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to search all patient records and identify individual patients with specific problems / diagnoses.,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to document the referral provider and facility, including address and phone number, for patients discharged from the ED",1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to display patient name, identification number, and age or date of birth on all order screens.",1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to display that the patient takes no medications.,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to display the patient's weight or an indicator that the patient has a weight recorded on medication ordering screens.,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall capture demographic information as part of the patient record. Demographic information, at a minimum, should include: patient name, date of birth, gender, internal patient ID number and account number.",1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to retrieve a medical record number from the hospital or other ADT system, before additional identifying data is known.",1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to identify the full content of a modified note, both the original content and the content resulting after any changes, corrections, clarifications, addenda, etc. to a finalized note including date/time/author identity",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"For medications that require consideration of laboratory test results in dosing, the system shall check for inappropriate dosing and inform the clinician during ordering.",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to establish criteria for disease management, wellness, and preventive services based on patient demographic data (minimally age and gender).",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to view all immunization administration history including clinician, date, and time.",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to identify preventive services, tests or counseling that are due on an individual patient.",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to identify when multiple medications of the same therapeutic or pharmacologic class are ordered and inform the user when medications are selected during prescribing / ordering.,0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall have the ability to provide support for disclosure management in compliance with HIPAA and applicable law.,0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,HIEs shall have a mechanism to identify records for public health reporting  (as specified in HITSP IS 02),0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability, when a new allergy is documented, to check for a potential interaction between the newly-documented allergy and the patient's current medications, and alert the user if such interactions exist.",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to display the history of changes made to a specific problem / diagnosis, including clinician, date, and time.",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide a means to capture the initially communicated Chief Complaint and any other reasons for the Emergency Department visit.,0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to spell out UNITS, use Thousands and Millions as part of expressing large doses and allow the use of commas in doses expressed in thousands in dosage fields in medication orders and medication lists.",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide an alert to the ordering and/or an on duty physician when laboratory results are available that were pending at the time of patient discharge.,0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The HIE shall implement firewall protections to prevent unauthorized access,0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to display information received through health plan/payer formulary checking.,0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to index and retrieve scanned documents based on the document type, the date of the original document.",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to display from the eMAR where the clinician can locate the medication on the unit.,0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to record the reason or indication for the medication when recording historical or home medications.,0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall capture and transfer patient consent directives.  Patient consent directives are instances of governing jurisdictional and organization privacy policies that define specific aspects of the collections, access use and disclosure.",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The HIE shall implement firewall protections to prevent unauthorized access,0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall provide the ability to document medication administration using a positive ID technology to confirm right patient, right medication, right dose, right time, and right route.",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,"The system shall be able to express age in hours and minutes for the first 4 days of life, in days for the first 28 days, in weeks for the first three months of life, and in months until age 2. Year expressions of age should permit a decimal place for expressing part of years (i.e. 2.5 years old).",0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall record the identity of each user contributing to a note and will associate the identity of each to his/her entire contribution to all versions of the note (from intermediate and final versions of the note).,0
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall provide the ability to document that a disease management or preventive service has been performed with associated dates or other relevant details recorded.,0
The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers.,The system shall provide the ability to send a query to coordinate patient identification,1
The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers.,The system shall provide the ability to query for a patient by more than one form of identification.,1
The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers.,"The system shall provide the ability to automatically generate an electronic reminder to the patient or the patient's guardian of disease management, preventive, or wellness services that are due.",0
The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers.,"The system shall provide the ability to modify the guidelines, criteria or rules that trigger the reminders.",0
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.","In areas where results from multiple patients are displayed, the system shall provide the ability to filter or sort results by patient.",1
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.","The system shall provide the ability to display a schedule of patient appointments, populated either through data entry in the system itself or through an external application interoperating with the system.",1
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.","The system, prior to a user login, shall display a (configurable) notice warning (e.g. The system should only be accessed by authorized users).",1
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.","The system shall provide the ability to display reminders for disease management, preventive and wellness services in the patient record.",1
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.",The system shall provide the ability to display information which has been inactivated or removed from the allergy and adverse reaction list.,1
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.",The system shall provide the ability to view test results during medication administration.,1
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.",The system shall provide the ability to view test results during the ordering process.,1
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.",The system shall capture and maintain demographic information as discrete data elements as part of the patient record.,0
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.",The system shall provide the ability to electronically communicate from the prescriber to the pharmacy an initial medication order as well as renewals of an existing order.,0
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.",The system shall provide the ability to query for a patient by more than one form of identification.,0
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.","The system shall capture the breast milk aliquot identifying data, amount, route, expiration date and date/time of administration.",0
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.",The system shall provide the ability to create paper copies of order- and medication-administration-related medical record elements.,0
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.",The system shall provide the ability to alert the user if the drug interaction information is outdated.,0
"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.","For each order type, the system shall provide the ability to capture and display the identity of the user, the date and the time when the order is signed, co-signed, renewed, modified or discontinued.",0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall provide the ability to include , in the discharge summary, details on further care required such as follow up or return visits and the appropriate timing of further care.",1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall provide the ability to create hardcopy and electronic report summary information (procedures, medications, labs, immunizations, allergies, and vital signs).",1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","At admission, discharge, and each change in level of care during the hospital stay, the system shall capture provider signature that medication reconciliation has been completed.",1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall provide a means to edit discharge instructions for a particular patient.,1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall display radiologic results that are pending at time of patient discharge.,1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall provide the ability to link data regarding a device implanted (captured in CV 06.05) to the implantation procedure and display both sets of data in surgical summaries and reports.,1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall display laboratory results that are pending at time of patient discharge.,1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall provide a means to manage discharge instructions.,1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","At discharge, the system shall provide the ability to communicate discharge medications and allergies to the next provider of care.",1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall provide the ability to link procedure data with patient diagnosis.,1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall provide a summary of the ED visit including but not limited to arrival time, responsible provider, chief complaint, acuity assignment, diagnosis, disposition (discharged, admitted, transferred), time of disposition, diagnostic studies done, treatments and medications given, discharge and follow-up instructions.",1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall provide the ability to document in the patient chart any actions taken related to test results received on a discharged patient.,1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall provide the ability to associate a diagnosis with a  prescription.,1
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall be able to support the standards identified and recommended by the Health Information Technology Standards Panel (HITSP) on its HITSP-TP20 Ver 1.0.1 document,0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall provide the ability to filter, search or order notes by associated diagnosis within a patient record.",0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall provide the ability to display information which has been inactivated or removed from the allergy and adverse reaction list.,0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall provide the ability to display CCD documents, using a subset of the HITSP C32 specification for the Medication and Immunization History module, file them as intact documents in the EHR, and import the discrete data from one or more of the entries in a structured form into the patient record. If coded data is present it shall be maintained or mapped to a local value",0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall provide the ability to display the allergy list, including date of entry.",0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall (will) provide the ability to record the author, date and time of the in-progress note and the final note",0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall provide the ability to change / order medication directly from med reconciliation.?,0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall provide the ability to suppress repeat alerting for the same patient, same ordering clinician, and same medication.",0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall provide the ability to send alert messages to clinician through electronic devices, such as beepers, cellular phones or other displays.",0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",The system shall provide the ability to send a query to check status of a test order,0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.",HIEs shall be able to forward data to appropriate public health authority  (as specified in HITSP IS 02),0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall provide the ability to filter, search or order notes by associated diagnosis within a patient record.",0
"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information.","The system shall provide the ability to identify the current physical location of any patient during their entire visit to the ED, including the date and time the patient entered that location.",0
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall provide a means to create outpatient prescriptions for durable items and equipment that require prescriptions.,1
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall have the ability to allow the hospital to specify orders that always require co-signatures.,1
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall provide a means to create outpatient prescriptions with detail adequate for correct filling and administration.,1
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall have the ability to allow the hospital to configure orders that require co-signature.,1
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall provide the ability to attach a comment to an individual scheduled dose and include as part of the legal medical record.,1
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,"The system shall send Current Medication List and Discharge Medications (patient home medications and medications prescribed upon discharge)  to outpatient documentation sources (e.g., Physicians office EMR), or Health Information Exchange (HIE)/network",1
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,"The system shall provide the ability to notify the ordering clinician concerning orders requiring signature (verbal and telephone orders, co signature).",1
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,"The system shall provide the ability to display the ordered date, time, route of administration and dose of all scheduled medications.",1
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,"The system shall support medical record entries that are dated, the author identified and when necessary according to law or regulation or hospital policy, authenticated, either by written signature, electronic signature or computer key",1
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall provide the ability to cosign a note and record the date and time of signature.,1
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,"The system shall store demographic information in the patient medical record in separate discrete data fields, such that data extraction tools can retrieve these data.",0
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,"The system shall provide the ability to maintain a directory which  identifies the physician by multiple unique identifiers such as UPIN, NPI, DEA number, etc.",0
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,"S 8.1 -- The HIE shall be able to support time synchronization using NTP/SNTP, and use this synchronized time in all security records of time.",0
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall provide the ability to flag a patient record as confidential and restrict the display of patient identifying information online and on printed output.,0
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall provide the ability for multiple users to interact concurrently with the EHR application.,0
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall provide the ability to receive scheduling information from a scheduling system,0
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,"The system shall provide the ability to order diagnostic tests, including labs and imaging studies.",0
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,"The system shall provide the ability to specify the role of each provider associated with a patient, such as encounter provider, primary care provider, attending, resident, or consultant.",0
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,The system shall provide the ability to specify the type of allergic or adverse reaction.,0
The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.,"The system shall provide the ability for a user to explicitly capture and maintain, as discrete data, that the allergy list was reviewed.  The user ID and date/time stamp shall be recorded when the allergies reviewed option is selected.",0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall allow authorized users to update the directory.,1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","If role-based access control (RBAC) is supported, the system must be capable of operating within an RBAC infrastructure conforming to ANSI INCITS 359-2004, American National Standard for Information Technology ? Role Based Access Control.",1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","If role-based access control (RBAC) is supported, the system shall be able to provide role based access control that is in compliance with the HL7 Permissions Catalog.",1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall be capable of indicating to the user when a vital sign measurement falls outside a preset normal range as set by authorized users.,1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall allow an authorized administrator to set the inclusion or exclusion of audited events based on organizational policy and operating requirements/limits.,1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall provide the ability to identify certain information as confidential and only make that accessible by appropriately authorized users.,1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall enforce the most restrictive set of rights/privileges or accesses needed by users/groups (e.g. System Administration, Clerical, Nurse, Doctor, etc.), or processes acting on behalf of users, for the performance of specified tasks.",1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system must be able to associate permissions with a user using one or more of the following access controls: 1) user-based (access rights assigned to each user) 2) role-based (users are grouped and access rights assigned to these groups) or 3) context-based (role-based with additional access rights assigned or restricted based on the context of the transaction such as time-of-day, workstation-location, emergency-mode, etc.)",1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall allow an authorized administrator to enable or disable auditing for events or groups of related events to properly collect evidence of compliance with implementation-specific policies.  Note: In response to a HIPAA-mandated risk analysis and management, there will be a variety of implementation-specific organizational policies and operational limits.",1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall authenticate the user before any access to Protected Resources (e.g. PHI) is allowed, including when not connected to a network e.g. mobile devices.",1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","When access to a chart is restricted, the system shall provide a means for appropriately authorized users to break the glass for emergency situations.",1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall provide authorized administrators with the capability to read all audit information from the audit records in one of the following two ways:  1) The system shall provide the audit records in a manner suitable for the user to interpret the information.  The system shall provide the capability to generate reports based on ranges of system date and time that audit records were collected. .... 2) The system shall be able to export logs into text format in such a manner as to allow correlation based on time (e.g. UTC synchronization).,1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall provide the ability to override a mask (masking parts of the EHR) in emergency or other specific situations according to scope of practice, organizational policy or jurisdictional law. Such overrides may require different levels of authority for example, access to child abuse photographs may require very high level authorization.",1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall have the capacity to allow authorized entities 'read-only' access to the EHR according to agreed upon uses and only as part of an identified audit subject to appropriate authentication, authorization, and access control functionality.",1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall provide the ability for authorized administrators to assign restrictions or privileges to users/groups.,1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The HIE shall provide a means to establish an effective date and an expiration date for an end user's authorization to access information through the HIE.,1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system, prior to a user login, shall display a (configurable) notice warning (e.g. The system should only be accessed by authorized users).",1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall not allow access to data or functions that exceed the HIE specified access for the user type or role,1
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall compute drug doses, based on appropriate dosage ranges, using the patient?s body surface area and ideal body weight.",0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall provide the ability to explicitly indicate that a patient has no known drug allergies or adverse reactions.,0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall provide the ability to manage and display status (accomplished, pending, in progress) of clinical issues and events (diagnostic tests, therapeutic actions, findings, diagnosis, remaining unknowns, and other pertinent information and transactions) required for disposition of each patient.",0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall provide the ability to view the name of the ordering clinician, medication order (name, dose, route, and frequency), a start date and time, and an end date and time or duration for entries on the medication list.",0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","For every participating organization (a business entity that participates in the HIE) that provides or obtains protected health information enabled by the HIE, the HIE shall ensure that there is a unique ID  that identifies that organization.  (As specified in HITSP constructs, unique entity identification is done by locally unique identifier and a globally unique entity identifier, i.e., ISO OID)",0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The HIE SHALL have the ability to perform the roles of Sender and Receiver of clinical laboratory results using HL7 CDA r2 as specified in the HITSP Component 37 Lab Report Document Structure with the contents and terminology specified in HITSP Component 36 Lab Message and Component 35 EHR Lab Terminology.,0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall provide the ability to display orders in an order set in the same manner as when the order is placed individually.,0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall provide the ability to create referral orders with detail adequate for correct routing.,0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall provide the ability to, at the time of medication prescribing/ordering, alert the user that based on the results of a laboratory test, the patient may be at increased risk for adverse effects of the medication.",0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall send Current Medication List and Discharge Medications (patient home medications and medications prescribed upon discharge)  to outpatient documentation sources (e.g., Physicians office EMR), or Health Information Exchange (HIE)/network",0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall provide the ability to update the reference immunization schedule, guidelines and analysis-of-needs mechanism (based on immunizations missing or due next) on demand for reasons including but not limited to updates to external guidelines. Note: The provider can update the immunization schedule as new vaccines are added and that the documentation grid can be updated and the analysis of missing or due immunizations can then update.",0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","The system shall include documented procedures for product installation, start-up and/or connection.",0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).","Every transaction that  requests or contains protected health information,  and  is imputed directly to a specific user shall contain an unambiguous ID of the user and any organization IDs that are necessary to ensure that the combination of the IDs identifies a unique user within an HIE",0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall provide the ability to select an appropriate CPT Evaluation and Management code based on data found in a clinical encounter.,0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall provide the ability to generate hardcopy or electronic output of part or all of the individual patient's medical record.,0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall provide the ability to indicate normal and abnormal results based on ranges provided from the original data source.,0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall provide the ability to export the final report of studies/procedures stored in the EHR.,0
"The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).",The system shall be able to support the standards identified and recommended by the Health Information Technology Standards Panel (HITSP) on its HITSP-TP13 Ver 1.0.1 document,0
The system shall provide an open source integration platform to build interfaces to Billing/Practice Management systems.,"The system shall provide the ability to support IHE ITI (Integrating the Healthcare Enterprise, IT Infrastructure) Framework: Document Consumer - Query Registry Transaction, Retrieve Document Transaction",1
The system shall provide an open source integration platform to build interfaces to Billing/Practice Management systems.,The system shall provide the ability to receive patient registration data from an internal practice management system,1
